price,make,model,year,body_type,fuel_type,engine_volume,mileage,engine_cylinders,transmission,drivetrain,color,car_age,Engine Displacement,Miles per year
3607,Ford,Escape,2011.0,SUV,Hybrid,2.5,104991.0,4.0,Automatic,AWD,White,15.0,10.0,11264.4
39493,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,99998.0,4.0,Automatic,FWD,White,10.0,8.0,16093.1
59464,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,47225.0,4.0,Automatic,FWD,White,10.0,8.0,7600.0
549,Toyota,C-HR,2018.0,SUV,Petrol,2.0,46073.0,4.0,Automatic,FWD,White,8.0,8.0,9268.25
7683,Hyundai,Elantra,2016.0,Sedan,Petrol,1.8,75708.0,4.0,Automatic,FWD,Blue,10.0,7.2,12184.0
28382,Hyundai,Elantra,2016.0,Sedan,Petrol,1.8,33752.0,4.0,Automatic,FWD,White,10.0,7.2,5431.7
20698,Toyota,Prius,2012.0,Sedan,Hybrid,1.8,116197.0,4.0,Automatic,FWD,White,14.0,7.2,13357.142857142857
17562,Toyota,Camry,2017.0,Sedan,Petrol,2.5,24675.0,4.0,Automatic,FWD,Black,9.0,10.0,4412.111111111111
23235,Hyundai,Santa Fe,2011.0,SUV,Diesel,2.0,100663.0,4.0,Automatic,FWD,Gray,15.0,8.0,10800.0
51746,Toyota,C-HR,2019.0,SUV,Petrol,2.0,6338.0,4.0,Automatic,FWD,Red,7.0,8.0,1457.142857142857
45734,Hyundai,H1,2016.0,Wagon,Diesel,2.5,37940.0,4.0,Automatic,FWD,Black,10.0,10.0,6105.7
15681,Toyota,Prius C,2012.0,Hatchback,Hybrid,1.5,79536.0,4.0,Automatic,FWD,Blue,14.0,6.0,9142.857142857143
55390,Hyundai,Santa Fe,2017.0,SUV,Diesel,2.0,62594.0,4.0,Automatic,FWD,Black,9.0,8.0,11192.666666666666
12544,Toyota,Aqua,2012.0,Hatchback,Hybrid,1.5,87924.0,4.0,Automatic,FWD,Black,14.0,6.0,10107.142857142857
34889,Honda,Civic,2016.0,Sedan,Petrol,2.0,54537.0,4.0,Automatic,FWD,Blue,10.0,8.0,8776.8
34657,Hyundai,H1,2014.0,Van,Diesel,2.5,96109.0,4.0,Automatic,FWD,Silver,12.0,10.0,12889.333333333334
36564,Hyundai,H1,2016.0,Van,Diesel,2.5,68953.0,4.0,Automatic,FWD,Black,10.0,10.0,11096.9
30063,Hyundai,H1,2015.0,Wagon,Diesel,2.5,92029.0,4.0,Automatic,FWD,Silver,11.0,10.0,13464.09090909091
43952,Hyundai,H1,2017.0,Wagon,Diesel,2.5,69372.0,4.0,Automatic,FWD,Gray,9.0,10.0,12404.777777777777
53154,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,52510.0,4.0,Automatic,FWD,Silver,10.0,8.0,8450.6
