price,make,model,year,body_type,fuel_type,engine_volume,mileage,engine_cylinders,transmission,drivetrain,color
3607,Ford,Escape,2011.0,SUV,Hybrid,2.5,104991.0,4.0,Automatic,AWD,White
39493,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,99998.0,4.0,Automatic,FWD,White
59464,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,47225.0,4.0,Automatic,FWD,White
549,Toyota,C-HR,2018.0,SUV,Petrol,2.0,46073.0,4.0,Automatic,FWD,White
7683,Hyundai,Elantra,2016.0,Sedan,Petrol,1.8,75708.0,4.0,Automatic,FWD,Blue
28382,Hyundai,Elantra,2016.0,Sedan,Petrol,1.8,33752.0,4.0,Automatic,FWD,White
20698,Toyota,Prius,2012.0,Sedan,Hybrid,1.8,116197.0,4.0,Automatic,FWD,White
17562,Toyota,Camry,2017.0,Sedan,Petrol,2.5,24675.0,4.0,Automatic,FWD,Black
23235,Hyundai,Santa Fe,2011.0,SUV,Diesel,2.0,100663.0,4.0,Automatic,FWD,Gray
51746,Toyota,C-HR,2019.0,SUV,Petrol,2.0,6338.0,4.0,Automatic,FWD,Red
45734,Hyundai,H1,2016.0,Wagon,Diesel,2.5,37940.0,4.0,Automatic,FWD,Black
15681,Toyota,Prius C,2012.0,Hatchback,Hybrid,1.5,79536.0,4.0,Automatic,FWD,Blue
55390,Hyundai,Santa Fe,2017.0,SUV,Diesel,2.0,62594.0,4.0,Automatic,FWD,Black
12544,Toyota,Aqua,2012.0,Hatchback,Hybrid,1.5,87924.0,4.0,Automatic,FWD,Black
34889,Honda,Civic,2016.0,Sedan,Petrol,2.0,54537.0,4.0,Automatic,FWD,Blue
34657,Hyundai,H1,2014.0,Van,Diesel,2.5,96109.0,4.0,Automatic,FWD,Silver
36564,Hyundai,H1,2016.0,Van,Diesel,2.5,68953.0,4.0,Automatic,FWD,Black
30063,Hyundai,H1,2015.0,Wagon,Diesel,2.5,92029.0,4.0,Automatic,FWD,Silver
43952,Hyundai,H1,2017.0,Wagon,Diesel,2.5,69372.0,4.0,Automatic,FWD,Gray
53154,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,52510.0,4.0,Automatic,FWD,Silver
18189,Toyota,Prius,2012.0,Sedan,Petrol,1.8,108740.0,4.0,Automatic,FWD,Silver
21953,Toyota,Camry,2012.0,Sedan,Petrol,2.5,121201.0,4.0,Automatic,FWD,Black
36065,Hyundai,Santa Fe,2014.0,SUV,Diesel,2.0,42994.0,4.0,Automatic,FWD,White
6247,Chevrolet,Cruze,2010.0,Sedan,Petrol,1.8,25335.0,4.0,Automatic,FWD,Black
16289,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,106876.0,4.0,Automatic,FWD,Gray
549,Subaru,Forester,2012.0,SUV,Petrol,2.5,92096.0,4.0,Automatic,AWD,Blue
27284,Hyundai,Elantra,2016.0,Sedan,Petrol,2.0,65489.0,4.0,Automatic,FWD,Black
15458,Hyundai,Genesis,2009.0,Coupe,Petrol,2.0,76644.0,4.0,Automatic,FWD,Black
12858,Ford,Focus,2015.0,Sedan,Petrol,2.0,56670.0,4.0,Automatic,FWD,Blue
44752,Hyundai,H1,2016.0,Wagon,Diesel,2.5,53438.0,4.0,Automatic,FWD,Gray
14897,Hyundai,Santa Fe,2010.0,SUV,Diesel,2.0,36638.0,4.0,Automatic,FWD,White
23521,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,55924.0,4.0,Automatic,FWD,White
16935,Ford,Fusion,2015.0,Sedan,Petrol,2.0,44400.0,4.0,Automatic,FWD,Black
51965,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,36981.0,4.0,Automatic,FWD,Blue
706,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,71652.0,4.0,Automatic,FWD,Gray
13328,Hyundai,H1,2008.0,Van,Diesel,2.5,46258.0,4.0,Automatic,FWD,Gold
17876,Nissan,Serena,2012.0,Van,Petrol,2.0,88857.0,4.0,Automatic,FWD,White
22894,Hyundai,H1,2011.0,Van,Diesel,2.5,77326.0,4.0,Automatic,FWD,Gold
2901,Honda,Civic,2012.0,Sedan,Hybrid,1.5,90971.0,4.0,Automatic,FWD,White
22580,Mercedes-Benz,E-Class,2017.0,Sedan,Petrol,2.0,31647.0,4.0,Automatic,RWD,Black
18817,Toyota,Camry,2018.0,Sedan,Hybrid,2.5,21785.0,4.0,Automatic,FWD,White
21169,Honda,other,2015.0,SUV,Petrol,1.8,20711.0,4.0,Automatic,AWD,Gray
1568,Volkswagen,Jetta,2014.0,Sedan,Diesel,2.0,51196.0,4.0,Automatic,FWD,Silver
17876,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,73273.0,4.0,Automatic,FWD,Gray
862,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,81076.0,4.0,Automatic,FWD,White
21395,Hyundai,H1,2012.0,Wagon,Diesel,2.5,103238.0,4.0,Automatic,FWD,Silver
40070,Toyota,Aqua,2016.0,Hatchback,Petrol,1.5,16036.0,4.0,Automatic,FWD,Black
21012,Toyota,Prius,2014.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,AWD,White
15624,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,66490.0,4.0,Automatic,FWD,Gray
36110,Volkswagen,Passat,2017.0,Sedan,Petrol,1.8,17230.0,6.0,Automatic,FWD,Silver
43880,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,70650.0,4.0,Automatic,FWD,Silver
17249,Toyota,Camry,2011.0,Sedan,Hybrid,2.5,94449.0,4.0,Automatic,FWD,White
9408,Toyota,Vitz,2003.0,Wagon,Petrol,1.5,113044.0,4.0,Automatic,AWD,Silver
44213,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,31227.0,4.0,Automatic,FWD,Red
56450,Toyota,Camry,2018.0,Sedan,Petrol,2.5,15535.0,4.0,Automatic,FWD,Blue
1490,Volkswagen,Jetta,2014.0,Wagon,Diesel,2.0,70348.0,4.0,Automatic,FWD,Gray
25716,Toyota,Camry,2014.0,Sedan,Petrol,2.5,71582.0,4.0,Automatic,FWD,Silver
14426,Chevrolet,Orlando,2012.0,SUV,Petrol,2.0,82044.0,4.0,Automatic,FWD,White
10820,Toyota,RAV4,2001.0,SUV,Petrol,2.0,56545.0,4.0,Automatic,AWD,Silver
41281,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,115458.0,4.0,Automatic,FWD,Black
6586,Lexus,CT 200h,2011.0,Hatchback,Hybrid,1.8,75995.0,4.0,Automatic,FWD,Black
12544,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,86992.0,4.0,Automatic,FWD,Beige
